FIPS,GF_Type,GF_Vuln00,Prob16_00v
48201100000,2,1,0
48201210100,3,1,23.75
48201210400,7,1,78.89
48201210500,4,1,71.82
48201210600,4,1,0
48201210700,7,1,82.18
48201210800,2,1,91.95
48201210900,2,1,96.72
48201211000,3,1,82.94
48201211100,2,1,94.78
48201211200,2,1,96.31
48201211300,4,1,93.2
48201211400,2,1,78.5
48201211500,2,1,73.01
48201211600,6,1,96.95
48201211700,2,1,93.58
48201211900,3,1,71.98
48201212300,2,1,91.47
48201212400,6,1,84.36
48201212500,4,1,82.15
48201220100,2,1,81.98
48201220200,3,1,68.93
48201220300,2,1,46.92
48201220400,6,1,66.49
48201220500,6,1,86.35
48201220600,2,1,62.8
48201220700,2,1,74.51
48201220800,2,1,83.84
48201220900,2,1,62.6
48201221000,4,1,50.99
48201221100,2,1,49.13
48201221200,6,1,30.34
48201221300,3,1,32.82
48201221400,2,1,68.89
48201221500,6,1,53.68
48201221600,6,1,21.54
48201221700,6,1,34.83
48201221800,6,1,37.6
48201221900,6,1,24.53
48201222000,6,1,36.01
48201222100,2,1,56.16
48201222200,6,1,65.59
48201222300,6,1,31.04
48201222401,6,1,37.66
48201222402,6,1,22.11
48201222501,3,1,68.32
48201222502,2,1,19.44
48201222503,6,1,74
48201222600,6,1,75.34
48201222700,2,1,62.92
48201222800,6,1,31.31
48201222900,1,1,19.56
48201223001,6,1,54.14
48201223002,6,1,61.54
48201223100,6,1,0
48201230100,4,1,93.19
48201230200,2,1,74.46
48201230300,2,1,78.77
48201230400,4,1,90.88
48201230500,6,1,81.13
48201230600,3,1,60.35
48201230700,6,1,87.21
48201230800,3,1,71.91
48201230900,4,1,84.47
48201231000,2,1,64.77
48201231100,6,1,40.88
48201231200,4,1,75.81
48201231300,4,1,68.54
48201231400,4,1,39.24
48201231500,2,1,87.38
48201231600,2,1,62.14
48201231700,2,1,28.83
48201231800,1,1,36.61
48201231900,2,1,57.05
48201232000,6,1,0
48201232100,6,1,77.97
48201232200,0,0,0
48201232301,6,1,16.34
48201232302,6,1,0
48201232401,2,1,0
48201232402,6,1,27.49
48201232403,6,1,36.52
48201232500,2,1,49.53
48201232600,0,0,0
48201232701,6,1,43.53
48201232702,6,1,37.48
48201232800,6,1,15.61
48201232900,0,0,32.99
48201233001,0,0,64.12
48201233002,0,0,0
48201233003,0,0,0
48201233101,6,1,37.38
48201233102,3,1,22.72
48201233103,6,1,34.61
48201233200,0,0,0
48201233300,6,1,55.08
48201233400,6,1,58.41
48201233500,6,1,49.13
48201233600,4,1,60.86
48201233701,6,1,36.49
48201233702,6,1,24.92
48201233703,6,1,56.47
48201240100,1,1,66.96
48201240400,0,0,0
48201240501,6,1,40.22
48201240502,6,1,88.16
48201240600,1,1,82.08
48201240701,0,0,0
48201240702,0,0,0
48201240801,0,0,14.03
48201240802,0,0,0
48201240901,0,0,0
48201240902,0,0,0
48201241000,0,0,0
48201241101,0,0,0
48201241102,0,0,0
48201241103,0,0,7.35
48201241200,0,0,0
48201241300,0,0,0
48201241400,0,0,0
48201241500,6,1,12.32
48201250100,0,0,0
48201250200,0,0,0
48201250301,0,0,0.62
48201250302,0,0,0
48201250401,0,0,0
48201250402,0,0,0
48201250500,0,0,0
48201250600,6,1,20.5
48201250701,0,0,0
48201250702,0,0,0
48201250800,0,0,0
48201250900,0,0,0
48201251000,0,0,0
48201251100,0,0,0
48201251200,0,0,0
48201251300,0,0,0
48201251401,0,0,0
48201251402,0,0,0
48201251501,0,0,0
48201251502,0,0,0
48201251503,0,0,0
48201251600,0,0,0
48201251700,0,0,0
48201251800,0,0,0
48201251901,0,0,0
48201251902,0,0,0
48201252000,0,0,0
48201252100,0,0,0
48201252200,0,0,3.82
48201252301,0,0,0
48201252302,0,0,0
48201252400,0,0,18.95
48201252500,6,1,33.88
48201252600,0,0,0
48201252700,0,0,0
48201252800,6,1,4.24
48201252900,0,0,0
48201253000,4,1,0
48201253100,0,0,0
48201253200,0,0,0
48201253300,0,0,0
48201253400,0,0,0
48201253500,6,1,14.9
48201253600,0,0,6.89
48201253700,6,1,2.19
48201253800,0,0,0
48201253900,6,1,17.11
48201254000,6,1,17.15
48201254100,0,0,15.05
48201254200,6,1,8.35
48201254300,0,0,18.9
48201254400,2,1,37.91
48201254500,3,1,34.96
48201254600,2,1,0
48201254700,2,1,0
48201310100,4,1,33.48
48201310200,2,1,0
48201310300,3,1,50.44
48201310400,6,1,91.81
48201310500,3,1,79.74
48201310600,2,1,67.54
48201310700,2,1,75.68
48201310800,2,1,47.77
48201310900,2,1,79.58
48201311000,4,1,68.43
48201311100,4,1,63.18
48201311200,3,1,75.33
48201311300,4,1,33.96
48201311400,3,1,69.86
48201311500,2,1,78
48201311600,6,1,90.79
48201311700,2,1,62.79
48201311800,4,1,73.6
48201311900,2,1,80.24
48201312000,2,1,0
48201312100,0,0,0
48201312200,3,1,98.72
48201312300,4,1,92.22
48201312400,4,1,96.42
48201312500,7,1,0
48201312600,2,1,0
48201312700,5,1,66.22
48201312800,4,1,98.73
48201312900,4,1,62.72
48201313000,7,1,79.39
48201313100,0,0,0
48201313200,0,0,26.86
48201313300,2,1,0
48201313400,2,1,81.63
48201313500,2,1,90.93
48201313600,4,1,92.3
48201313700,2,1,92.13
48201313800,4,1,87.51
48201313900,0,0,0
48201314001,2,1,0
48201314002,6,1,0
48201314300,3,1,78.07
48201314400,1,0,0
48201320100,6,1,43.12
48201320200,6,1,61.59
48201320500,6,1,17.64
48201320601,6,1,47.55
48201320602,3,1,43.9
48201320700,6,1,37.79
48201320800,3,1,37.66
48201320900,6,1,34.28
48201321000,6,1,14.36
48201321100,6,1,6.97
48201321200,6,1,64.93
48201321300,6,1,17.56
48201321401,2,1,29.72
48201321402,6,1,0
48201321500,2,1,48.65
48201321600,0,0,0
48201321700,0,0,0
48201321800,6,1,34.58
48201321900,6,1,24.5
48201322000,6,1,38.43
48201322100,6,1,42.86
48201322200,6,1,31.67
48201322600,0,0,0
48201322700,6,1,26.62
48201322800,6,1,17.5
48201322900,6,1,19.76
48201323000,6,1,33.25
48201323100,6,1,51.09
48201323200,0,0,0
48201323300,6,1,52.74
48201323400,6,1,32.09
48201323500,6,1,27.3
48201323600,6,1,0
48201323701,0,0,0
48201323702,0,0,20.12
48201323801,0,0,0
48201323802,0,0,0
48201323900,6,1,36.19
48201324000,0,0,0
48201324100,3,1,48.11
48201324200,2,1,59.52
48201330100,4,1,0
48201330200,3,0,49.45
48201330301,0,0,0
48201330302,0,0,0
48201330303,0,0,16.13
48201330400,6,1,54.3
48201330500,2,1,35.15
48201330600,2,1,45.31
48201330700,4,1,14.09
48201330800,0,0,0
48201330900,6,1,0
48201331100,4,1,75.85
48201331200,2,1,76
48201331300,4,1,55.52
48201331400,2,1,96.63
48201331500,4,1,0
48201331601,6,1,90.18
48201331602,3,1,84.04
48201331700,2,1,65.38
48201331800,6,1,91.31
48201331900,2,1,69.93
48201332000,2,1,89.25
48201332100,3,1,73.04
48201332200,2,1,74.97
48201332300,6,1,67.43
48201332400,2,1,82.9
48201332500,2,1,66.18
48201332600,4,1,63.12
48201332700,2,1,56.94
48201332800,6,1,74.25
48201332900,6,1,79.89
48201333000,2,1,41.67
48201333100,3,1,49.64
