zipcode,NIBRSDescription,OffenseCount
77002,Aggravated Assault,269
77002,All other larceny,643
77002,All other offenses,935
77002,Animal Cruelty,3
77002,Arson,3
77002,Assisting or promoting prostitution,4
77002,Bad checks,1
77002,Bribery,1
77002,"Burglary, Breaking and Entering",142
77002,"Counterfeiting, forgery",66
77002,"Credit card, ATM fraud",69
77002,"Curfew, loitering, vagrancy violations",1
77002,"Destruction, damage, vandalism",361
77002,Disorderly conduct,98
77002,Driving under the influence,242
77002,Drug equipment violations,46
77002,"Drug, narcotic violations",266
77002,Drunkenness,102
77002,Embezzlement,5
77002,"Extortion, Blackmail",1
77002,"False pretenses, swindle",90
77002,"Family offenses, no violence",3
77002,Forcible fondling,8
77002,Forcible rape,16
77002,Forcible sodomy,6
77002,Gambling equipment violations,1
77002,Hacking/Computer Invasion,4
77002,Human Trafficking/Commercial Sex Act,5
77002,Identify theft,38
77002,Impersonation,12
77002,Intimidation,250
77002,"Kidnapping, abduction",2
77002,Liquor law violations,5
77002,Motor vehicle theft,185
77002,"Murder, non-negligent",1
77002,Pocket-picking,37
77002,"Pornographs, obscene material",23
77002,Prostitution,28
77002,Purchasing prostitution,5
77002,Purse-snatching,18
77002,Robbery,208
77002,Shoplifting,125
77002,Simple assault,749
77002,Statutory rape,1
77002,Stolen property offenses,4
77002,Theft from building,133
77002,Theft from motor vehicle,912
77002,Theft of motor vehicle parts or accessory,39
77002,Trespass of real property,366
77002,Weapon law violations,31
77002,Wire fraud,2
77003,Aggravated Assault,100
77003,All other larceny,181
77003,All other offenses,205
77003,Animal Cruelty,1
77003,Arson,1
77003,"Burglary, Breaking and Entering",112
77003,"Counterfeiting, forgery",16
77003,"Credit card, ATM fraud",25
77003,"Curfew, loitering, vagrancy violations",1
77003,"Destruction, damage, vandalism",151
77003,Disorderly conduct,19
77003,Driving under the influence,102
77003,Drug equipment violations,7
77003,"Drug, narcotic violations",63
77003,Drunkenness,15
77003,Embezzlement,6
77003,"Extortion, Blackmail",1
77003,"False pretenses, swindle",15
77003,"Family offenses, no violence",3
77003,Forcible fondling,6
77003,Forcible rape,6
77003,Forcible sodomy,6
77003,Identify theft,19
77003,Impersonation,1
77003,Intimidation,107
77003,"Kidnapping, abduction",1
77003,Motor vehicle theft,106
77003,"Murder, non-negligent",1
77003,Pocket-picking,4
77003,"Pornographs, obscene material",3
77003,Prostitution,1
77003,Purse-snatching,3
77003,Robbery,59
77003,Shoplifting,11
77003,Simple assault,225
77003,Stolen property offenses,1
77003,Theft from building,34
77003,Theft from motor vehicle,660
77003,Theft of motor vehicle parts or accessory,28
77003,Trespass of real property,52
77003,Weapon law violations,14
77003,Wire fraud,2
77004,Aggravated Assault,394
77004,All other larceny,538
77004,All other offenses,807
77004,Animal Cruelty,7
77004,Arson,17
77004,Assisting or promoting prostitution,1
77004,Bad checks,1
77004,"Burglary, Breaking and Entering",411
77004,"Counterfeiting, forgery",38
77004,"Credit card, ATM fraud",59
77004,"Destruction, damage, vandalism",462
77004,Disorderly conduct,31
77004,Driving under the influence,217
77004,Drug equipment violations,65
77004,"Drug, narcotic violations",527
77004,Drunkenness,35
77004,Embezzlement,8
77004,"Extortion, Blackmail",3
77004,"False pretenses, swindle",32
77004,"Family offenses, no violence",5
77004,Forcible fondling,10
77004,Forcible rape,21
77004,Forcible sodomy,7
77004,From coin-operated machine or device,3
77004,Human Trafficking/Commercial Sex Act,2
77004,Identify theft,57
77004,Impersonation,11
77004,Intimidation,374
77004,"Kidnapping, abduction",1
77004,Liquor law violations,3
77004,Motor vehicle theft,163
77004,"Murder, non-negligent",9
77004,Pocket-picking,4
77004,"Pornographs, obscene material",1
77004,Prostitution,3
77004,Purse-snatching,4
77004,Robbery,196
77004,Sexual assault with an object,1
77004,Shoplifting,117
77004,Simple assault,744
77004,Stolen property offenses,8
77004,Theft from building,87
77004,Theft from motor vehicle,913
77004,Theft of motor vehicle parts or accessory,55
77004,Trespass of real property,180
77004,Weapon law violations,53
77004,Wire fraud,1
77005,Aggravated Assault,11
77005,All other larceny,89
77005,All other offenses,101
77005,Animal Cruelty,2
77005,Arson,1
77005,Bad checks,1
77005,"Burglary, Breaking and Entering",60
77005,"Counterfeiting, forgery",15
77005,"Credit card, ATM fraud",23
77005,"Destruction, damage, vandalism",74
77005,Disorderly conduct,1
77005,Driving under the influence,11
77005,"Drug, narcotic violations",3
77005,Drunkenness,3
77005,Embezzlement,1
77005,"Extortion, Blackmail",1
77005,"False pretenses, swindle",15
77005,"Family offenses, no violence",1
77005,Forcible fondling,7
77005,Forcible rape,5
77005,Forcible sodomy,3
77005,Human Trafficking/Commercial Sex Act,1
77005,Identify theft,16
77005,Impersonation,2
77005,Intimidation,29
77005,Motor vehicle theft,23
77005,Pocket-picking,3
77005,"Pornographs, obscene material",24
77005,Purse-snatching,10
77005,Robbery,22
77005,Shoplifting,123
77005,Simple assault,42
77005,Statutory rape,4
77005,Theft from building,25
77005,Theft from motor vehicle,348
77005,Theft of motor vehicle parts or accessory,13
77005,Trespass of real property,19
77005,Weapon law violations,1
77006,Aggravated Assault,106
77006,All other larceny,371
77006,All other offenses,298
77006,Animal Cruelty,4
77006,Arson,4
77006,Bad checks,2
77006,"Burglary, Breaking and Entering",268
77006,"Counterfeiting, forgery",22
77006,"Credit card, ATM fraud",56
77006,"Destruction, damage, vandalism",278
77006,Disorderly conduct,23
77006,Driving under the influence,132
77006,Drug equipment violations,23
77006,"Drug, narcotic violations",91
77006,Drunkenness,34
77006,Embezzlement,3
