ZIP, Prob16_00v
77002,13.52
77003,38.28
77004,42.17
77005,0.0
77006,0.0
77007,0.0
77008,5.71
77009,48.63
77010,0.0
77011,71.75
77012,65.89
77013,32.64
77014,7.89
77015,27.29
77016,66.82
77017,45.84
77018,22.28
77019,0.0
77020,77.26
77021,54.72
77022,70.43
77023,63.01
77024,0.12
77025,8.77
77026,89.74
77027,0.0
77028,69.33
77029,53.32
77030,0.0
77031,26.47
77032,20.79
77033,80.15
77034,17.62
77035,24.88
77036,57.68
77037,42.27
77038,19.77
77039,48.74
77040,5.7
77041,4.68
77042,6.11
77043,5.14
77044,4.08
77045,20.47
77046,0.0
77047,28.28
77048,64.5
77049,15.04
77050,42.37
77051,65.44
77053,18.95
77054,13.01
77055,17.42
77056,3.76
77057,15.7
77058,0.0
77059,0.0
77060,59.64
77061,38.64
77062,0.0
77063,6.05
77064,1.53
77065,1.92
77066,3.13
77067,19.21
77068,5.07
77069,0.0
77070,0.0
77071,21.31
77072,45.24
77073,12.26
77074,46.87
77075,11.96
77076,45.18
77077,2.5
77078,58.69
77079,0.0
77080,15.28
77081,46.37
77082,9.99
77083,5.6
77084,0.37
77085,5.38
77086,23.2
77087,63.51
77088,32.93
77089,6.14
77090,16.13
77091,38.27
77092,20.11
77093,57.39
77094,0.0
77095,0.1
77096,11.93
77098,0.0
77099,38.9
77205,0.0
77336,0.0
77338,3.65
77339,0.0
77345,0.0
77346,0.0
77357,0.0
77365,0.0
77373,1.05
77375,0.0
77377,0.0
77379,0.0
77388,0.0
77389,0.0
77396,9.64
77401,6.27
77429,0.0
77433,0.0
77447,0.0
77449,0.0
77450,0.0
77477,21.51
77484,0.0
77489,6.32
77493,0.0
77494,0.0
77502,26.99
77503,16.32
77504,19.31
77505,5.12
77506,34.94
77520,11.41
77521,4.33
77530,10.57
77532,0.61
77536,0.0
77546,0.0
77547,39.29
77562,1.41
77571,0.93
77581,0.0
77586,0.0
77587,30.06
77598,0.0
